time,open,high,low,close
2023-11-13 09:00:00,1103.66,1105.91,1101.74,1104.34
2023-11-13 10:00:00,1104.26,1105.87,1100.43,1105.61
2023-11-13 11:00:00,1105.66,1107.91,1104.4,1104.83
2023-11-13 13:00:00,1104.71,1105.99,1099.85,1100.21
2023-11-13 14:00:00,1099.83,1100.12,1093.19,1100.07
2023-11-14 09:00:00,1100.07,1111.49,1100.07,1109.61
2023-11-14 10:00:00,1109.65,1115.6,1108.26,1112.11
2023-11-14 11:00:00,1112.27,1112.97,1110.97,1111.12
2023-11-14 13:00:00,1111.29,1112.07,1101.67,1105.34
2023-11-14 14:00:00,1105.35,1109.73,1102.74,1109.73
2023-11-15 09:00:00,1109.73,1128.59,1109.73,1126.98
2023-11-15 10:00:00,1127.07,1132.75,1126.53,1128.9
2023-11-15 11:00:00,1128.79,1129.92,1128.27,1128.83
2023-11-15 13:00:00,1128.25,1128.91,1123.97,1124.24
2023-11-15 14:00:00,1124.22,1126.4,1118.74,1122.5
2023-11-16 09:00:00,1122.5,1122.5,1117.01,1120.47
2023-11-16 10:00:00,1120.72,1121.31,1117.66,1117.8
2023-11-16 11:00:00,1117.68,1117.86,1116.43,1116.65
2023-11-16 13:00:00,1116.2,1120.31,1114.97,1117.99
2023-11-16 14:00:00,1117.91,1125.53,1115.43,1125.53
2023-11-17 09:00:00,1125.53,1129.84,1123.95,1123.95
2023-11-17 10:00:00,1123.94,1127.18,1122.99,1125.81
2023-11-17 11:00:00,1125.73,1126.1,1118.88,1119.69
2023-11-17 13:00:00,1117.8,1117.8,1096.19,1101.61
2023-11-17 14:00:00,1100.91,1115.01,1096.16,1101.19
2023-11-20 09:00:00,1101.19,1101.19,1085.32,1094.2
2023-11-20 10:00:00,1094.23,1100.32,1092.81,1095.27
2023-11-20 11:00:00,1095.21,1101.82,1095.21,1100.19
2023-11-20 13:00:00,1099.81,1108.59,1098.98,1108.57
2023-11-20 14:00:00,1108.85,1111.26,1099.12,1103.66
2023-11-21 09:00:00,1103.66,1112.77,1103.66,1107.52
2023-11-21 10:00:00,1107.59,1110.85,1107.22,1109.87
2023-11-21 11:00:00,1109.86,1109.98,1106.13,1106.85
